equipment_type,hours_requested,fuel_cost_per_liter,price
1,4,0.78,583.00
1,8,0.78,553.85
1,12,0.78,536.36
1,24,0.78,489.72
2,4,0.78,816.20
2,8,0.78,775.39
2,12,0.78,750.90
2,24,0.78,685.61
3,4,0.78,1049.40
3,8,0.78,996.93
3,12,0.78,965.45
3,24,0.78,881.50
1,4,0.80,598.00
1,8,0.80,568.10
1,12,0.80,550.16
1,24,0.80,502.32
2,4,0.80,837.20
2,8,0.80,795.34
2,12,0.80,770.22
2,24,0.80,703.25
3,4,0.80,1076.40
3,8,0.80,1022.58
3,12,0.80,990.29
3,24,0.80,904.18
1,4,0.82,612.00
1,8,0.82,581.40
1,12,0.82,563.04
1,24,0.82,514.08
2,4,0.82,856.80
2,8,0.82,813.96
2,12,0.82,788.26
2,24,0.82,719.71
3,4,0.82,1101.60
3,8,0.82,1046.52
3,12,0.82,1013.47
3,24,0.82,925.34
1,4,0.81,605.00
1,8,0.81,574.75
1,12,0.81,556.60
1,24,0.81,508.20
2,4,0.81,847.00
2,8,0.81,804.65
2,12,0.81,779.24
2,24,0.81,711.48
3,4,0.81,1089.00
3,8,0.81,1034.55
3,12,0.81,1001.88
3,24,0.81,914.76
1,4,0.79,590.00
1,8,0.79,560.50
1,12,0.79,542.80
1,24,0.79,495.60
2,4,0.79,826.00
2,8,0.79,784.70
2,12,0.79,759.92
2,24,0.79,693.84
3,4,0.79,1062.00
3,8,0.79,1008.90
3,12,0.79,977.04
3,24,0.79,892.08
1,4,0.77,575.00
1,8,0.77,546.25
1,12,0.77,529.00
1,24,0.77,483.00
2,4,0.77,805.00
2,8,0.77,764.75
2,12,0.77,740.60
2,24,0.77,676.20
3,4,0.77,1035.00
3,8,0.77,983.25
3,12,0.77,952.20
3,24,0.77,869.40
