service_id,batch_volume_qq,fuel_cost_per_liter,price
3,150,0.78,277.88
3,200,0.78,278.36
1,50,0.80,219.64
1,100,0.80,221.45
1,150,0.80,219.97
1,200,0.80,221.33
2,50,0.80,245.42
2,100,0.80,247.64
2,150,0.80,246.02
2,200,0.80,247.47
3,50,0.80,271.28
3,100,0.80,273.69
3,150,0.80,271.95
3,200,0.80,273.62
1,50,0.82,222.70
1,100,0.82,222.29
1,150,0.82,223.77
1,200,0.82,223.00
2,50,0.82,248.83
2,100,0.82,248.40
2,150,0.82,250.08
2,200,0.82,249.15
3,50,0.82,275.10
3,100,0.82,274.55
3,150,0.82,276.31
3,200,0.82,275.34
1,50,0.81,229.67
1,100,0.81,228.30
1,150,0.81,229.72
1,200,0.81,229.35
2,50,0.81,256.57
2,100,0.81,255.22
2,150,0.81,256.95
2,200,0.81,256.42
3,50,0.81,283.75
3,100,0.81,282.09
3,150,0.81,283.94
3,200,0.81,283.60
1,50,0.79,225.25
1,100,0.79,225.37
1,150,0.79,225.11
1,200,0.79,225.89
2,50,0.79,251.75
2,100,0.79,251.84
2,150,0.79,251.53
2,200,0.79,252.41
3,50,0.79,278.25
3,100,0.79,278.34
3,150,0.79,277.99
3,200,0.79,278.92
1,50,0.77,224.98
1,100,0.77,225.50
1,150,0.77,224.30
1,200,0.77,224.22
2,50,0.77,251.55
2,100,0.77,251.94
2,150,0.77,250.56
2,200,0.77,250.69
3,50,0.77,278.05
3,100,0.77,278.43
3,150,0.77,276.99
3,200,0.77,277.04
