service_id,batch_weight_kg,cooling_hours,electricity_kwh_rate,price
1,500,48,0.129,3.117
1,1000,48,0.129,2.950
1,2000,48,0.129,2.950
1,5000,48,0.129,2.866
2,500,48,0.129,3.382
2,1000,48,0.129,3.201
2,2000,48,0.129,3.201
2,5000,48,0.129,3.112
1,500,72,0.129,3.129
1,1000,72,0.129,2.960
1,2000,72,0.129,2.960
1,5000,72,0.129,2.876
2,500,72,0.129,3.404
2,1000,72,0.129,3.212
2,2000,72,0.129,3.212
2,5000,72,0.129,3.122
1,500,24,0.130,3.410
1,1000,24,0.130,3.256
1,2000,24,0.130,3.256
1,5000,24,0.130,3.162
2,500,24,0.130,3.720
2,1000,24,0.130,3.534
2,2000,24,0.130,3.534
2,5000,24,0.130,3.432
1,500,48,0.130,3.451
1,1000,48,0.130,3.267
1,2000,48,0.130,3.267
1,5000,48,0.130,3.174
2,500,48,0.130,3.746
2,1000,48,0.130,3.546
2,2000,48,0.130,3.546
2,5000,48,0.130,3.444
1,500,72,0.130,3.463
1,1000,72,0.130,3.278
1,2000,72,0.130,3.278
1,5000,72,0.130,3.185
2,500,72,0.130,3.772
2,1000,72,0.130,3.558
2,2000,72,0.130,3.558
2,5000,72,0.130,3.456
1,500,24,0.130,3.365
1,1000,24,0.130,3.213
1,2000,24,0.130,3.213
1,5000,24,0.130,3.120
2,500,24,0.130,3.660
2,1000,24,0.130,3.486
2,2000,24,0.130,3.486
2,5000,24,0.130,3.390
1,500,48,0.130,3.404
1,1000,48,0.130,3.224
1,2000,48,0.130,3.224
1,5000,48,0.130,3.132
2,500,48,0.130,3.688
2,1000,48,0.130,3.498
2,2000,48,0.130,3.498
2,5000,48,0.130,3.398
1,500,72,0.130,3.416
1,1000,72,0.130,3.234
1,2000,72,0.130,3.234
1,5000,72,0.130,3.141
2,500,72,0.130,3.712
2,1000,72,0.130,3.511
2,2000,72,0.130,3.511
2,5000,72,0.130,3.411
1,500,24,0.131,3.630
1,1000,24,0.131,3.465
1,2000,24,0.131,3.465
1,5000,24,0.131,3.366
2,500,24,0.131,3.960
2,1000,24,0.131,3.762
2,2000,24,0.131,3.762
2,5000,24,0.131,3.654
1,500,48,0.131,3.673
1,1000,48,0.131,3.476
1,2000,48,0.131,3.476
1,5000,48,0.131,3.377
2,500,48,0.131,3.986
2,1000,48,0.131,3.773
2,2000,48,0.131,3.773
2,5000,48,0.131,3.666
1,500,72,0.131,3.686
1,1000,72,0.131,3.487
1,2000,72,0.131,3.487
1,5000,72,0.131,3.388
2,500,72,0.131,4.012
2,1000,72,0.131,3.784
2,2000,72,0.131,3.784
2,5000,72,0.131,3.678
1,500,24,0.131,3.630
1,1000,24,0.131,3.465
1,2000,24,0.131,3.465
1,5000,24,0.131,3.366
2,500,24,0.131,3.960
2,1000,24,0.131,3.762
2,2000,24,0.131,3.762
2,5000,24,0.131,3.654
1,500,48,0.131,3.673
1,1000,48,0.131,3.476
1,2000,48,0.131,3.476
1,5000,48,0.131,3.377
2,500,48,0.131,3.986
2,1000,48,0.131,3.773
2,2000,48,0.131,3.773
2,5000,48,0.131,3.666
1,500,72,0.131,3.686
1,1000,72,0.131,3.487
1,2000,72,0.131,3.487
1,5000,72,0.131,3.388
2,500,72,0.131,4.012
2,1000,72,0.131,3.784
2,2000,72,0.131,3.784
2,5000,72,0.131,3.678
1,500,24,0.132,3.795
1,1000,24,0.132,3.623
1,2000,24,0.132,3.623
1,5000,24,0.132,3.519
2,500,24,0.132,4.140
2,1000,24,0.132,3.933
2,2000,24,0.132,3.933
2,5000,24,0.132,3.822
1,500,48,0.132,3.840
1,1000,48,0.132,3.635
1,2000,48,0.132,3.635
1,5000,48,0.132,3.531
2,500,48,0.132,4.168
2,1000,48,0.132,3.945
2,2000,48,0.132,3.945
2,5000,48,0.132,3.834
1,500,72,0.132,3.854
1,1000,72,0.132,3.646
1,2000,72,0.132,3.646
1,5000,72,0.132,3.542
2,500,72,0.132,4.194
2,1000,72,0.132,3.958
2,2000,72,0.132,3.958
2,5000,72,0.132,3.846
1,500,24,0.132,4.015
1,1000,24,0.132,3.833
1,2000,24,0.132,3.833
1,5000,24,0.132,3.723
2,500,24,0.132,4.380
2,1000,24,0.132,4.161
2,2000,24,0.132,4.161
2,5000,24,0.132,4.044
1,500,48,0.132,4.063
1,1000,48,0.132,3.845
1,2000,48,0.132,3.845
1,5000,48,0.132,3.735
2,500,48,0.132,4.408
2,1000,48,0.132,4.173
2,2000,48,0.132,4.173
2,5000,48,0.132,4.056
1,500,72,0.132,4.077
1,1000,72,0.132,3.857
1,2000,72,0.132,3.857
1,5000,72,0.132,3.748
2,500,72,0.132,4.434
2,1000,72,0.132,4.185
2,2000,72,0.132,4.185
2,5000,72,0.132,4.068
1,500,24,0.133,3.960
1,1000,24,0.133,3.780
1,2000,24,0.133,3.780
1,5000,24,0.133,3.672
2,500,24,0.133,4.320
2,1000,24,0.133,4.104
2,2000,24,0.133,4.104
2,5000,24,0.133,3.990
1,500,48,0.133,4.008
1,1000,48,0.133,3.793
1,2000,48,0.133,3.793
1,5000,48,0.133,3.685
2,500,48,0.133,4.350
2,1000,48,0.133,4.117
2,2000,48,0.133,4.117
2,5000,48,0.133,4.003
1,500,72,0.133,4.022
1,1000,72,0.133,3.806
1,2000,72,0.133,3.806
1,5000,72,0.133,3.697
2,500,72,0.133,4.376
2,1000,72,0.133,4.129
2,2000,72,0.133,4.129
2,5000,72,0.133,4.015
1,500,24,0.133,3.630
1,1000,24,0.133,3.465
1,2000,24,0.133,3.465
1,5000,24,0.133,3.366
2,500,24,0.133,3.960
2,1000,24,0.133,3.762
2,2000,24,0.133,3.762
2,5000,24,0.133,3.654
1,500,48,0.133,3.673
1,1000,48,0.133,3.476
1,2000,48,0.133,3.476
1,5000,48,0.133,3.377
2,500,48,0.133,3.986
2,1000,48,0.133,3.773
2,2000,48,0.133,3.773
2,5000,48,0.133,3.666
1,500,72,0.133,3.686
1,1000,72,0.133,3.487
1,2000,72,0.133,3.487
1,5000,72,0.133,3.388
2,500,72,0.133,4.012
2,1000,72,0.133,3.784
2,2000,72,0.133,3.784
2,5000,72,0.133,3.678
1,500,24,0.134,3.795
1,1000,24,0.134,3.623
1,2000,24,0.134,3.623
1,5000,24,0.134,3.519
2,500,24,0.134,4.140
2,1000,24,0.134,3.933
2,2000,24,0.134,3.933
2,5000,24,0.134,3.822
1,500,48,0.134,3.840
1,1000,48,0.134,3.635
1,2000,48,0.134,3.635
1,5000,48,0.134,3.531
2,500,48,0.134,4.168
2,1000,48,0.134,3.945
2,2000,48,0.134,3.945
2,5000,48,0.134,3.834
1,500,72,0.134,3.854
1,1000,72,0.134,3.646
1,2000,72,0.134,3.646
1,5000,72,0.134,3.542
2,500,72,0.134,4.194
2,1000,72,0.134,3.958
2,2000,72,0.134,3.958
2,5000,72,0.134,3.846
1,500,24,0.135,4.015
1,1000,24,0.135,3.833
1,2000,24,0.135,3.833
1,5000,24,0.135,3.723
2,500,24,0.135,4.380
2,1000,24,0.135,4.161
2,2000,24,0.135,4.161
2,5000,24,0.135,4.044
1,500,48,0.135,4.063
1,1000,48,0.135,3.845
1,2000,48,0.135,3.845
1,5000,48,0.135,3.735
2,500,48,0.135,4.408
2,1000,48,0.135,4.173
2,2000,48,0.135,4.173
2,5000,48,0.135,4.056
1,500,72,0.135,4.077
1,1000,72,0.135,3.857
1,2000,72,0.135,3.857
1,5000,72,0.135,3.748
2,500,72,0.135,4.434
2,1000,72,0.135,4.185
2,2000,72,0.135,4.185
2,5000,72,0.135,4.068
1,500,24,0.135,3.850
1,1000,24,0.135,3.675
1,2000,24,0.135,3.675
1,5000,24,0.135,3.570
2,500,24,0.135,4.200
2,1000,24,0.135,3.990
2,2000,24,0.135,3.990
2,5000,24,0.135,3.876
1,500,48,0.135,3.896
1,1000,48,0.135,3.688
1,2000,48,0.135,3.688
1,5000,48,0.135,3.582
2,500,48,0.135,4.226
2,1000,48,0.135,4.003
2,2000,48,0.135,4.003
2,5000,48,0.135,3.889
1,500,72,0.135,3.910
1,1000,72,0.135,3.700
1,2000,72,0.135,3.700
1,5000,72,0.135,3.594
2,500,72,0.135,4.252
2,1000,72,0.135,4.016
2,2000,72,0.135,4.016
2,5000,72,0.135,3.902
1,500,24,0.136,4.070
1,1000,24,0.136,3.885
1,2000,24,0.136,3.885
1,5000,24,0.136,3.774
2,500,24,0.136,4.440
2,1000,24,0.136,4.218
2,2000,24,0.136,4.218
2,5000,24,0.136,4.098
1,500,48,0.136,4.119
1,1000,48,0.136,3.897
1,2000,48,0.136,3.897
1,5000,48,0.136,3.786
2,500,48,0.136,4.468
2,1000,48,0.136,4.230
2,2000,48,0.136,4.230
2,5000,48,0.136,4.112
1,500,72,0.136,4.133
1,1000,72,0.136,3.909
1,2000,72,0.136,3.909
1,5000,72,0.136,3.798
2,500,72,0.136,4.496
2,1000,72,0.136,4.243
2,2000,72,0.136,4.243
2,5000,72,0.136,4.124
1,500,24,0.136,4.070
1,1000,24,0.136,3.885
1,2000,24,0.136,3.885
1,5000,24,0.136,3.774
2,500,24,0.136,4.440
2,1000,24,0.136,4.218
2,2000,24,0.136,4.218
2,5000,24,0.136,4.098
1,500,48,0.136,4.119
1,1000,48,0.136,3.897
1,2000,48,0.136,3.897
1,5000,48,0.136,3.786
2,500,48,0.136,4.468
2,1000,48,0.136,4.230
2,2000,48,0.136,4.230
2,5000,48,0.136,4.112
1,500,72,0.136,4.133
1,1000,72,0.136,3.909
1,2000,72,0.136,3.909
1,5000,72,0.136,3.798
2,500,72,0.136,4.496
2,1000,72,0.136,4.243
2,2000,72,0.136,4.243
2,5000,72,0.136,4.124
1,500,24,0.137,4.125
1,1000,24,0.137,3.938
1,2000,24,0.137,3.938
1,5000,24,0.137,3.825
2,500,24,0.137,4.500
2,1000,24,0.137,4.275
2,2000,24,0.137,4.275
2,5000,24,0.137,4.155
1,500,48,0.137,4.175
1,1000,48,0.137,3.950
1,2000,48,0.137,3.950
1,5000,48,0.137,3.837
2,500,48,0.137,4.528
2,1000,48,0.137,4.287
2,2000,48,0.137,4.287
2,5000,48,0.137,4.167
1,500,72,0.137,4.190
1,1000,72,0.137,3.962
1,2000,72,0.137,3.962
1,5000,72,0.137,3.849
2,500,72,0.137,4.556
2,1000,72,0.137,4.300
2,2000,72,0.137,4.300
2,5000,72,0.137,4.179
1,500,24,0.137,4.125
1,1000,24,0.137,3.938
1,2000,24,0.137,3.938
1,5000,24,0.137,3.825
2,500,24,0.137,4.500
2,1000,24,0.137,4.275
2,2000,24,0.137,4.275
2,5000,24,0.137,4.155
1,500,48,0.137,4.175
1,1000,48,0.137,3.950
1,2000,48,0.137,3.950
1,5000,48,0.137,3.837
2,500,48,0.137,4.528
2,1000,48,0.137,4.287
2,2000,48,0.137,4.287
2,5000,48,0.137,4.167
1,500,72,0.137,4.190
1,1000,72,0.137,3.962
1,2000,72,0.137,3.962
1,5000,72,0.137,3.849
2,500,72,0.137,4.556
2,1000,72,0.137,4.300
2,2000,72,0.137,4.300
2,5000,72,0.137,4.179
1,500,24,0.138,4.125
1,1000,24,0.138,3.938
1,2000,24,0.138,3.938
1,5000,24,0.138,3.825
2,500,24,0.138,4.500
2,1000,24,0.138,4.275
2,2000,24,0.138,4.275
2,5000,24,0.138,4.155
1,500,48,0.138,4.175
1,1000,48,0.138,3.950
1,2000,48,0.138,3.950
1,5000,48,0.138,3.837
2,500,48,0.138,4.528
2,1000,48,0.138,4.287
2,2000,48,0.138,4.287
2,5000,48,0.138,4.167
1,500,72,0.138,4.190
1,1000,72,0.138,3.962
1,2000,72,0.138,3.962
1,5000,72,0.138,3.849
2,500,72,0.138,4.556
2,1000,72,0.138,4.300
2,2000,72,0.138,4.300
2,5000,72,0.138,4.179
